,Grid Coordinates,Value,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
114,"(21.5, 70.5)",36.59,9,17,33,17,12,4,19,8,12,15,21,26,4,41,11,24,13,38,13,16,15,10,13,15,32,49,15,7,9,33
115,"(21.5, 71.5)",38.04,12,17,31,19,15,5,15,9,16,12,23,18,7,37,15,23,20,31,23,23,16,8,16,11,25,54,13,3,10,26
116,"(21.5, 72.5)",39.62,11,21,27,24,20,6,23,16,24,19,21,20,6,32,16,7,18,17,18,18,17,7,19,8,26,58,6,4,16,26
117,"(21.5, 73.5)",40.18,13,18,27,29,23,10,24,19,28,17,18,22,6,29,20,13,16,15,19,17,15,8,19,8,20,48,9,1,14,24
118,"(21.5, 74.5)",40.57,17,20,25,27,22,9,22,22,29,16,17,21,5,31,25,18,14,13,21,16,19,9,21,8,21,41,9,1,13,17
119,"(21.5, 75.5)",41.41,18,19,15,26,17,5,19,21,33,18,12,21,4,31,27,16,17,17,23,12,23,12,15,8,23,42,10,3,22,22
120,"(21.5, 76.5)",42.011999999999986,17,18,16,27,14,2,22,20,33,20,15,21,4,27,25,16,17,25,23,10,17,14,13,10,26,38,7,9,18,24
121,"(21.5, 77.5)",41.94,21,17,13,23,14,3,23,19,31,19,12,23,5,27,20,13,20,27,27,11,17,16,9,9,29,41,9,11,20,21
122,"(21.5, 78.5)",41.57199999999999,21,16,10,26,15,1,20,20,31,21,12,25,12,25,19,13,17,24,34,8,20,10,7,10,31,37,9,15,20,19
123,"(21.5, 79.5)",41.52,15,12,8,26,16,4,22,20,28,20,14,26,12,22,19,13,18,26,33,10,23,9,9,10,31,41,11,15,22,15
124,"(21.5, 80.5)",42.18,13,12,8,25,19,4,24,17,27,22,14,31,16,21,20,14,19,29,38,9,25,8,8,11,27,32,7,16,17,16
125,"(21.5, 81.5)",41.86,12,10,11,25,19,3,24,16,22,22,14,23,17,22,21,12,19,24,37,7,33,8,9,11,33,38,4,22,17,15
126,"(21.5, 82.5)",42.01,15,12,10,21,19,9,26,15,21,22,15,12,22,20,25,13,16,23,38,10,35,5,10,10,29,40,4,23,16,13
127,"(21.5, 83.5)",41.58,16,10,9,20,22,9,25,14,20,20,14,15,21,19,23,14,14,22,40,13,36,3,11,11,24,39,6,28,17,14
128,"(21.5, 84.5)",41.18,14,9,8,18,28,8,23,3,18,17,9,18,16,19,24,14,14,22,39,16,38,0,9,15,26,42,6,30,20,26
129,"(21.5, 85.5)",39.76,10,12,18,23,25,4,15,8,6,16,9,16,8,20,28,9,12,27,36,19,37,6,12,12,29,44,4,37,22,26
130,"(21.5, 86.5)",38.02199999999999,13,14,22,13,28,0,11,13,2,13,17,16,4,16,23,5,7,23,25,23,33,13,10,13,37,49,4,45,21,35
131,"(21.5, 87.5)",36.09,11,17,24,13,23,0,7,16,0,12,24,23,7,17,17,5,6,12,18,29,36,15,12,11,34,44,3,44,26,43
132,"(21.5, 88.5)",35.45,14,18,26,13,22,0,6,16,0,13,28,22,9,12,15,3,5,13,16,31,38,13,13,10,36,44,3,44,20,47
133,"(22.5, 69.5)",36.41,8,15,27,17,9,4,20,17,13,12,34,25,3,40,9,18,13,42,14,18,16,9,14,13,28,60,14,5,7,31
134,"(22.5, 70.5)",36.83,8,16,24,20,11,5,19,16,17,15,24,26,4,40,9,17,14,41,17,17,16,10,14,6,26,61,16,6,9,25
135,"(22.5, 71.5)",39.59,8,18,28,24,19,5,20,15,23,18,23,26,6,35,15,12,18,21,20,15,16,11,18,7,23,54,13,4,10,25
136,"(22.5, 72.5)",40.532,9,17,25,26,20,7,23,21,20,22,22,27,4,31,16,16,21,16,19,19,15,7,26,5,19,53,8,1,11,22
137,"(22.5, 73.5)",41.12,15,13,25,29,21,8,26,19,29,23,23,25,4,28,15,6,19,15,18,17,19,7,22,6,18,52,10,2,14,23
138,"(22.5, 74.5)",40.92,14,16,22,28,20,11,25,23,32,19,22,22,4,30,22,10,16,17,23,17,18,11,21,7,16,43,7,0,14,24
139,"(22.5, 75.5)",41.35199999999999,15,14,18,28,17,9,22,22,31,19,22,21,1,30,24,11,17,18,21,12,21,11,19,8,20,38,11,7,19,22
140,"(22.5, 76.5)",41.89199999999999,16,18,8,33,14,5,21,19,32,19,21,21,1,27,26,12,18,22,22,10,23,12,17,7,22,34,14,11,19,24
141,"(22.5, 77.5)",41.46199999999999,17,12,8,31,14,3,24,21,32,19,21,22,2,25,24,13,20,28,25,8,17,15,14,10,27,35,10,13,19,19
142,"(22.5, 78.5)",41.33199999999999,16,10,8,33,16,4,22,24,32,19,18,21,4,23,21,13,18,26,31,8,24,10,13,9,27,38,8,13,21,18
143,"(22.5, 79.5)",41.44,14,6,7,29,16,3,20,20,32,19,16,24,6,23,20,14,19,28,34,10,29,10,8,9,28,39,10,15,23,18
144,"(22.5, 80.5)",41.81199999999999,12,7,9,24,18,3,20,17,27,22,15,24,11,21,24,14,19,30,31,10,29,9,10,10,30,39,10,16,20,17
145,"(22.5, 81.5)",41.7,14,9,12,24,20,2,21,13,30,20,19,21,14,22,22,10,18,24,36,12,34,7,9,8,30,40,7,22,17,15
146,"(22.5, 82.5)",41.261999999999986,14,10,15,22,19,6,24,13,23,18,15,19,16,20,23,13,18,26,36,8,36,1,8,10,27,41,8,24,18,17
147,"(22.5, 83.5)",41.17,15,10,12,19,22,9,25,14,18,19,16,15,14,20,21,12,14,20,36,10,37,1,11,15,28,40,8,30,18,21
148,"(22.5, 84.5)",40.60199999999999,14,13,12,16,28,10,21,10,13,17,13,19,10,18,27,11,10,23,36,16,32,3,14,14,28,45,4,29,16,26
149,"(22.5, 85.5)",39.72,16,13,15,20,30,7,20,10,8,14,13,16,5,18,27,10,9,23,27,19,34,5,12,13,32,52,3,34,18,26
150,"(22.5, 86.5)",39.42199999999999,20,18,22,26,32,2,15,17,5,12,21,20,6,15,25,6,5,10,18,25,36,6,13,14,28,44,1,33,18,35
151,"(22.5, 87.5)",37.13,20,17,28,13,29,0,6,22,0,11,20,22,5,14,24,3,6,5,11,35,40,6,13,13,33,44,0,42,16,51
152,"(22.5, 88.5)",36.05,15,19,28,12,27,0,10,28,0,15,26,24,13,10,18,3,1,7,11,33,39,5,12,13,33,45,0,44,12,50
153,"(22.5, 92.5)",32.22,3,24,26,12,16,3,7,12,4,14,23,17,9,6,11,5,7,5,14,11,17,41,31,19,37,20,24,34,32,69
154,"(23.5, 68.5)",36.47,8,13,25,19,12,4,18,14,14,13,31,27,3,37,9,19,16,41,18,18,14,7,14,12,31,59,15,6,8,27
155,"(23.5, 69.5)",37.08,9,14,21,20,15,5,20,14,13,17,32,26,3,36,9,17,16,36,17,17,13,10,18,9,28,59,17,6,12,21
156,"(23.5, 70.5)",37.56,7,13,26,17,16,3,19,26,16,20,35,25,5,41,11,12,13,34,14,16,14,11,17,5,29,61,13,5,8,22
157,"(23.5, 71.5)",39.53,7,17,27,25,19,7,20,26,22,22,27,26,4,26,13,7,14,23,20,11,19,10,22,6,21,55,12,6,13,22
158,"(23.5, 72.5)",40.33,15,10,22,36,18,8,21,19,23,21,26,24,2,27,16,13,16,18,21,18,20,16,23,4,18,50,11,2,9,23
159,"(23.5, 73.5)",40.3,15,12,25,28,18,10,24,24,28,21,23,23,2,26,19,10,17,18,24,19,21,12,23,4,15,48,11,2,10,18
160,"(23.5, 74.5)",40.78,17,13,21,28,16,9,21,24,31,23,25,21,1,29,21,8,17,22,20,14,19,14,23,5,17,40,11,6,13,21
161,"(23.5, 75.5)",41.551999999999985,16,12,13,31,16,5,22,21,34,23,26,20,1,22,19,11,18,21,20,15,20,13,25,7,18,37,12,8,17,25
162,"(23.5, 76.5)",42.290000000000006,16,14,9,32,14,1,22,21,34,22,21,19,0,22,20,9,19,30,25,13,21,14,18,8,20,36,16,13,18,17
163,"(23.5, 77.5)",41.93,16,12,9,34,16,1,24,21,33,22,20,20,1,22,19,9,20,31,22,13,24,15,18,9,22,38,15,13,17,16
164,"(23.5, 78.5)",42.03,17,8,9,30,16,3,23,21,33,18,19,22,1,22,20,11,21,30,27,12,25,12,12,9,27,38,13,12,23,16
165,"(23.5, 79.5)",41.7,19,6,15,28,17,3,20,20,36,19,19,21,5,24,21,14,20,24,24,12,25,10,10,8,27,38,14,13,22,17
166,"(23.5, 80.5)",42.0,18,6,17,24,19,2,16,19,35,18,18,19,9,25,23,16,19,25,27,12,29,6,10,8,26,34,11,21,22,17
167,"(23.5, 81.5)",41.3,15,5,20,23,20,1,18,17,33,16,20,21,13,22,22,11,16,23,28,13,35,1,11,10,24,37,12,26,22,15
168,"(23.5, 82.5)",41.25,17,8,24,21,15,5,23,15,27,15,24,20,15,20,21,10,13,17,24,16,36,1,12,11,28,40,10,28,20,15
169,"(23.5, 83.5)",41.33,21,8,18,16,17,6,22,14,18,10,30,21,12,21,21,9,13,17,26,16,37,1,12,15,25,41,9,30,20,26
170,"(23.5, 84.5)",40.49,16,13,14,18,28,9,20,14,12,16,23,19,11,21,21,7,11,15,22,17,35,1,12,17,29,43,7,33,16,29
